Age,Gender,Tenure,Service_Internet,Service_Phone,Service_TV,Contract,PaymentMethod,MonthlyCharges,TotalCharges,StreamingMovies,StreamingMusic,OnlineSecurity,TechSupport,MonthlyCharges_Contract,TenuretoAgeRatio,MonthlyTotallyChargesRatio,TotalServiceUsage
56.0,0,46.0,0,1,1,0,2,40.7,1866.58,1,1,0,0,0.0,0.8214285714285714,0.021804583784247128,2
24.0,1,62.0,1,1,0,0,2,114.43,7104.76,1,1,1,0,0.0,2.5833333333333335,0.016106103513700676,2
46.0,0,68.0,1,1,0,0,2,62.37,4241.61,0,0,1,1,0.0,1.4782608695652173,0.014704322179549747,2
66.0,1,15.0,1,1,1,0,3,37.01,548.2,0,0,1,1,0.0,0.22727272727272727,0.06751185698650126,3
38.0,1,38.0,1,1,0,2,3,68.68,2132.26,1,1,0,0,137.36,1.0,0.03220995563392832,2
36.0,1,41.0,0,1,1,0,3,33.06,1366.75,0,0,0,0,0.0,1.1388888888888888,0.024188768977501374,2
39.0,1,59.0,1,1,1,0,0,98.38,5802.06,1,1,1,0,0.0,1.5128205128205128,0.01695604664550177,3
64.0,1,23.0,1,1,0,0,2,33.33,770.83,0,1,0,0,0.0,0.359375,0.04323910589883632,2
43.65553060078607,1,48.0,0,1,1,0,3,91.99,4404.54,1,0,0,0,0.0,1.0995170449064637,0.020885268382169305,2
39.0,0,27.0,1,1,0,1,2,95.08,2562.42,0,1,0,0,95.08,0.6923076923076923,0.037105548661031364,2
19.0,1,52.0,1,1,1,2,0,47.36,2457.17,0,0,0,0,94.72,2.736842105263158,0.01927420569191387,3
43.0,0,3.0,1,1,1,0,0,22.39,61.77,0,1,0,1,0.0,0.06976744186046512,0.36247369273109925,3
23.0,0,36.0,0,1,0,0,3,27.62,997.67,0,1,0,0,0.0,1.565217391304348,0.027684504896408633,1
37.0,1,44.0,0,1,0,0,0,111.83,4926.49,1,1,0,0,0.0,1.1891891891891893,0.022699731451804428,1
30.0,1,53.0,1,1,0,0,1,37.39,1969.12,0,1,0,1,0.0,1.7666666666666666,0.018988177459982124,2
30.0,0,7.0,1,1,1,0,2,39.2,278.33,1,1,1,1,0.0,0.23333333333333334,0.14084001006000074,3
