Age,Gender,Tenure,Service_Internet,Service_Phone,Service_TV,Contract,PaymentMethod,MonthlyCharges,TotalCharges,StreamingMovies,StreamingMusic,OnlineSecurity,TechSupport,Churn
56.0,1,13.0,0,1,0,1,3,71.88,931.49,0,0,1,0,0
69.0,1,13.0,0,0,1,2,3,110.99,1448.46,1,1,0,0,0
46.0,1,60.0,1,0,1,0,3,116.74,6997.73,1,1,0,0,0
32.0,0,57.0,1,1,1,0,0,78.16,4452.13,0,1,0,1,0
60.0,1,52.0,1,1,1,2,2,30.33,1569.73,1,0,1,1,0
25.0,0,53.0,1,1,1,0,0,77.33,4107.57,1,0,1,0,0
38.0,1,43.0,1,1,0,2,3,79.76,3437.48,1,0,0,0,0
56.0,1,42.0,0,0,1,0,0,98.92,4154.29,0,1,0,0,0
36.0,0,26.0,0,1,1,0,2,24.82,662.63,0,0,1,1,0
40.0,1,23.0,1,1,1,2,3,66.63,1536.62,0,1,0,0,0
28.0,0,43.0,1,1,1,0,2,112.28,4831.6,1,0,1,1,0
28.0,0,28.0,1,1,0,2,1,119.13,3338.13,0,0,1,0,0
41.0,1,9.0,0,0,1,2,3,39.14,339.64,0,0,1,0,0
53.0,0,20.0,1,1,1,2,1,107.06,2132.26,1,1,0,0,0
57.0,1,56.0,0,0,1,0,3,34.63,1938.73,0,0,0,0,0
41.0,1,39.0,0,0,1,1,2,104.12,4060.22,0,0,1,1,0
20.0,0,51.0,1,1,1,2,3,47.73,2440.13,1,1,1,0,0
39.0,1,12.0,0,1,1,1,2,115.96,1384.84,1,0,0,0,0
19.0,0,55.0,1,0,0,1,1,89.55,4925.96,1,0,0,1,0
41.0,1,11.0,0,1,1,2,1,59.91,659.9,1,0,1,0,0
61.0,1,26.0,1,1,1,1,0,48.1,1251.88,0,0,1,0,0
47.0,1,42.0,1,1,1,2,0,43.52,1828.0,0,1,1,1,0
55.0,1,27.0,1,1,1,0,3,88.08,2364.12,1,0,1,0,0
19.0,1,11.0,1,0,1,0,1,109.58,1182.77,0,0,0,1,1
38.0,0,38.0,0,1,0,0,2,95.49,3619.2,0,1,0,0,0
50.0,0,43.0,1,1,0,0,0,103.48,4444.33,1,1,0,0,0
29.0,0,19.0,1,0,1,1,2,98.14,1852.88,0,1,0,1,0
39.0,0,64.0,0,0,1,0,1,117.91,2132.26,0,1,0,0,0
61.0,0,6.0,1,1,1,2,2,95.78,585.58,1,0,0,0,1
42.0,0,46.0,0,0,1,0,1,41.02,1894.18,1,1,1,0,0
43.65553060078607,1,42.0,1,1,0,0,3,99.16,4169.38,1,1,1,1,0
43.65553060078607,1,65.0,1,0,0,0,2,52.21,3403.5,1,1,0,0,0
59.0,0,59.0,0,1,0,0,3,119.58,7045.97,1,1,1,0,0
45.0,0,52.0,1,1,1,0,0,57.67,2994.27,1,1,1,1,0
33.0,1,47.0,1,0,1,0,0,69.59,2322.31,0,1,0,1,0
32.0,1,7.0,1,1,0,1,2,43.92,302.69,0,1,1,0,0
64.0,1,11.0,1,0,0,0,3,85.85,940.15,1,0,0,0,1
68.0,0,61.0,1,1,0,0,2,30.92,1904.74,1,1,1,0,0
61.0,0,68.0,1,0,1,1,1,115.36,2132.26,0,0,0,0,0
69.0,0,25.0,1,0,1,0,2,49.43,1253.39,0,1,1,1,0
43.65553060078607,1,12.0,0,1,1,0,0,49.54,576.25,1,1,0,0,0
54.0,1,26.0,1,0,1,0,2,24.61,633.55,1,1,1,0,0
68.0,0,12.0,1,1,1,0,2,44.6,539.29,0,1,0,0,0
24.0,0,43.0,1,0,0,1,1,61.9,2662.64,1,1,0,1,0
38.0,1,51.0,1,1,1,0,2,56.96,2132.26,1,1,1,0,0
26.0,1,37.0,1,0,1,2,2,47.3,1747.8,1,1,1,0,0
56.0,1,46.0,1,1,0,2,2,24.07,1131.95,1,0,1,0,0
35.0,1,53.0,1,1,1,0,3,50.06,2655.65,1,1,0,0,0
21.0,0,13.0,1,1,0,2,0,97.83,1277.83,1,0,0,1,0
42.0,1,54.0,1,1,1,0,2,63.88,3443.08,0,0,1,0,0
31.0,1,57.0,1,0,1,0,0,49.08,2799.99,0,0,0,0,0
67.0,1,4.0,1,1,0,0,2,50.48,201.8,0,1,0,0,0
26.0,0,49.0,1,1,0,0,1,75.44,3707.75,1,0,1,1,0
43.0,0,7.0,0,1,1,1,1,50.23,362.48,1,1,0,1,0
43.65553060078607,1,11.0,1,1,0,0,1,83.08,917.96,0,1,0,1,1
37.0,1,54.0,1,1,1,2,1,118.95,6424.01,0,1,0,0,0
45.0,1,45.0,0,0,1,1,2,24.12,1068.61,1,0,1,1,0
64.0,0,23.0,0,0,1,0,2,36.87,830.87,1,1,1,0,0
24.0,0,28.0,1,1,1,1,0,37.91,1062.3,1,0,1,0,0
43.65553060078607,0,57.0,1,1,0,2,2,64.71,3697.22,1,1,0,1,0
25.0,1,26.0,1,1,0,0,2,24.14,640.96,1,0,0,1,0
64.0,0,25.0,0,1,0,0,2,67.75,1684.85,0,0,1,0,0
52.0,1,54.0,0,1,0,0,3,112.89,6080.97,1,0,1,1,0
31.0,1,29.0,1,0,1,0,3,21.16,622.97,0,1,1,0,0
34.0,1,36.0,1,1,0,0,2,56.49,2025.49,0,0,0,1,0
53.0,0,14.0,0,0,0,0,2,96.09,1329.49,1,0,1,0,0
67.0,1,35.0,1,1,0,1,0,35.45,1235.81,0,1,0,1,0
57.0,0,30.0,1,1,0,1,2,27.76,827.69,0,1,0,0,0
21.0,0,17.0,0,1,0,0,1,83.08,1425.56,1,0,0,0,0
19.0,1,67.0,0,1,1,0,2,21.0,1415.66,1,1,0,0,0
23.0,1,30.0,0,1,0,0,0,100.18,2998.03,0,0,1,1,0
59.0,0,45.0,1,0,0,0,3,26.69,1215.03,0,1,0,0,0
21.0,1,51.0,1,1,0,0,2,72.44,3695.69,0,0,0,1,0
46.0,0,47.0,1,0,1,2,3,94.01,4429.08,1,1,0,0,0
35.0,1,53.0,1,1,1,0,3,44.2,2355.87,1,1,1,0,0
43.0,0,64.0,1,1,0,0,1,30.35,1939.77,1,1,1,1,0
61.0,0,38.0,1,1,1,0,0,37.56,1432.99,1,0,0,1,0
51.0,0,64.0,1,1,0,2,2,105.47,6746.01,0,1,0,1,0
27.0,0,7.0,0,1,1,1,2,90.58,643.36,0,0,0,1,1
53.0,1,22.0,1,1,1,0,2,39.81,876.72,0,0,0,0,0
31.0,1,41.0,1,1,1,0,2,91.61,3765.61,0,1,0,1,0
48.0,0,10.0,1,1,1,0,3,90.86,923.85,0,1,1,0,1
65.0,0,57.0,1,1,1,0,1,119.77,6832.36,0,1,0,1,0
32.0,1,7.0,0,1,1,2,3,59.16,413.19,0,1,0,0,0
25.0,1,50.0,1,1,1,1,0,106.49,5323.73,1,1,0,1,0
31.0,1,52.0,1,0,1,1,0,64.64,3331.71,0,0,0,1,0
40.0,1,33.0,1,1,1,0,1,109.78,3615.61,1,0,1,0,0
57.0,1,1.0,1,0,1,0,2,29.16,38.49,1,1,1,0,0
38.0,1,53.0,1,1,1,2,0,37.53,1998.79,1,0,0,0,0
33.0,0,60.0,1,0,0,0,1,105.0,6292.65,1,0,1,0,0
62.0,1,34.0,1,1,1,2,2,101.93,3467.27,0,0,0,0,0
35.0,1,4.0,1,0,1,0,2,50.54,200.27,1,0,0,0,0
43.65553060078607,0,17.0,1,1,0,0,1,79.68,1361.46,0,0,1,1,0
41.0,1,4.0,1,0,1,1,0,58.27,255.17,1,1,0,1,0
43.0,1,43.0,1,1,0,0,2,21.03,911.37,1,0,1,0,0
42.0,1,4.0,1,1,0,0,3,22.61,83.74,1,0,0,0,0
62.0,1,1.0,0,1,1,0,3,25.43,24.65,0,1,1,0,0
58.0,1,71.0,0,1,1,1,3,79.41,5652.13,0,1,0,1,0
46.0,0,50.0,1,1,1,0,2,47.92,2381.91,1,1,0,0,0
32.0,1,61.0,1,1,1,0,2,34.39,2091.64,1,1,0,0,0
62.0,0,35.0,1,1,1,1,0,114.11,4000.95,0,1,0,0,0
18.0,0,8.0,1,0,1,0,0,32.13,269.98,1,0,0,1,0
42.0,1,24.0,0,1,0,2,1,87.4,2103.69,1,0,0,0,0
24.0,0,36.0,1,0,1,0,2,109.42,3933.05,1,1,0,0,0
26.0,1,50.0,1,1,1,1,1,36.38,1824.37,1,1,0,0,0
43.65553060078607,0,43.0,1,1,0,0,2,41.47,1787.35,1,0,0,0,0
18.0,0,27.0,1,0,1,1,3,69.59,2092.77,1,1,1,0,0
61.0,1,32.0,1,0,1,1,1,70.84,2265.91,0,1,0,1,0
25.0,1,18.0,0,0,1,2,3,72.1,1298.33,0,0,1,0,0
41.0,1,28.0,1,1,1,0,2,75.47,2104.09,0,1,1,0,0
28.0,1,29.0,0,1,0,0,2,114.99,3359.51,0,1,1,1,0
68.0,1,16.0,1,1,1,1,3,25.38,407.65,0,1,1,1,0
34.0,0,47.0,1,1,1,0,0,96.04,4519.37,0,0,0,0,0
25.0,0,59.0,1,1,1,0,1,43.25,2549.57,0,0,1,0,0
52.0,0,31.0,1,0,1,2,0,57.37,1786.92,1,1,0,0,0
52.0,0,4.0,1,0,1,0,1,28.93,102.74,1,1,0,1,0
50.0,0,37.0,1,1,0,2,0,64.56,2371.26,0,0,0,0,0
22.0,0,17.0,0,1,0,0,1,100.42,1706.84,0,0,0,0,0
59.0,0,39.0,1,0,1,1,2,29.87,1185.47,0,0,1,0,0
56.0,1,48.0,1,1,1,0,1,47.56,2294.96,0,0,0,0,0
58.0,1,46.0,1,1,0,0,2,57.31,2628.18,1,0,0,0,0
45.0,0,48.0,1,1,1,2,1,30.39,1463.88,1,0,1,1,0
24.0,0,39.0,0,1,1,0,2,96.23,3746.61,0,0,1,0,0
26.0,1,4.0,0,0,1,2,0,98.69,399.02,1,0,1,0,1
25.0,1,30.0,1,1,1,1,0,103.59,3112.74,1,0,1,1,0
29.0,1,30.0,1,1,1,0,1,78.39,2360.96,0,1,0,0,0
51.0,1,22.0,1,1,0,2,0,70.72,1540.18,1,0,1,1,0
43.65553060078607,0,66.0,1,0,0,0,2,46.26,3040.5,0,0,0,0,0
65.0,1,12.0,0,0,1,2,3,85.52,1025.48,0,0,0,0,0
40.0,0,36.0,1,1,1,0,2,64.46,2310.24,1,1,1,0,0
41.0,0,18.0,0,1,0,2,2,117.08,2096.34,1,0,0,0,0
